UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20461297     RESP   2202 
     20461305     RESP   2201 
     20461313     RESP   2201 
     20461321     RESP   2202 
     20461329     RESP   2205 
     20461337     RESP   2208 
     20461345     RESP   2214 
     20461353     RESP   2221 
     20461361     RESP   2229 
     20461369     RESP   2238 
     20461377     RESP   2249 
     20461385     RESP   2261 
     20461393     RESP   2274 
     20461401     RESP   2289 
     20461409     RESP   2305 
     20461417     RESP   2322 
     20461425     RESP   2340 
     20461433     RESP   2359 
     20461441     RESP   2379 
     20461449     RESP   2399 
     20461457     RESP   2420 
     20461465     RESP   2442 
     20461473     RESP   2464 
     20461481     RESP   2487 
     20461489     RESP   2511 
     20461497     RESP   2537 
     20461505     RESP   2565 
     20461513     RESP   2595 
     20461521     RESP   2627 
     20461529     RESP   2660 
     20461537     RESP   2695 
     20461545     RESP   2732 
     20461553     RESP   2770 
     20461561     RESP   2810 
     20461569     RESP   2851 
     20461577     RESP   2894 
     20461585     RESP   2938 
     20461593     RESP   2983 
     20461601     RESP   3027 
     20461609     RESP   3072 
     20461617     RESP   3116 
     20461625     RESP   3160 
     20461633     RESP   3204 
     20461641     RESP   3248 
     20461649     RESP   3292 
     20461657     RESP   3336 
     20461665     RESP   3380 
     20461673     RESP   3424 
     20461681     RESP   3468 
     20461689     RESP   3512 
     20461697     RESP   3557 
     20461705     RESP   3602 
     20461713     RESP   3648 
     20461721     RESP   3695 
     20461729     RESP   3743 
     20461737     RESP   3790 
     20461745     RESP   3838 
     20461753     RESP   3885 
     20461761     RESP   3933 
     20461769     RESP   3979 
     20461777     RESP   4024 
     20461785     RESP   4068 
     20461793     RESP   4095 
     20461801     RESP   4095 
     20461809     RESP   4095 
     20461817     RESP   4095 
     20461825     RESP   4095 
     20461833     RESP   4095 
     20461841     RESP   4095 
     20461849     RESP   4095 
     20461857     RESP   4095 
     20461865     RESP   4095 
     20461873     RESP   4095 
     20461881     RESP   4095 
     20461889     RESP   4095 
     20461897     RESP   4095 
     20461905     RESP   4095 
     20461913     RESP   4095 
     20461921     RESP   4095 
     20461929     RESP   4095 
     20461937     RESP   4095 
     20461945     RESP   4095 
     20461953     RESP   4095 
     20461961     RESP   4095 
     20461969     RESP   4095 
     20461977     RESP   4095 
     20461985     RESP   4095 
     20461993     RESP   4095 
     20462001     RESP   4095 
     20462009     RESP   4095 
     20462017     RESP   4095 
     20462025     RESP   4095 
     20462033     RESP   4095 
     20462041     RESP   4095 
     20462049     RESP   4079 
     20462057     RESP   4032 
     20462065     RESP   3983 
     20462073     RESP   3933 
     20462081     RESP   3883 
     20462089     RESP   3834 
     20462097     RESP   3786 
     20462105     RESP   3741 
     20462113     RESP   3696 
     20462121     RESP   3654 
     20462129     RESP   3613 
     20462137     RESP   3575 
     20462145     RESP   3538 
     20462153     RESP   3504 
     20462161     RESP   3473 
     20462169     RESP   3444 
     20462177     RESP   3418 
     20462185     RESP   3392 
     20462193     RESP   3367 
     20462201     RESP   3343 
     20462209     RESP   3320 
     20462217     RESP   3296 
     20462225     RESP   3273 
     20462233     RESP   3250 
     20462241     RESP   3228 
     20462249     RESP   3204 
     20462257     RESP   3179 
     20462265     RESP   3153 
     20462273     RESP   3126 
     20462281     RESP   3098 
     20462289     RESP   3069 
     20462297     RESP   3039 
     20462305     RESP   3007 
     20462313     RESP   2975 
     20462321     RESP   2943 
     20462329     RESP   2909 
     20462337     RESP   2874 
     20462345     RESP   2840 
     20462353     RESP   2805 
     20462361     RESP   2773 
     20462369     RESP   2741 
     20462377     RESP   2711 
     20462385     RESP   2682 
     20462393     RESP   2656 
     20462401     RESP   2633 
     20462409     RESP   2611 
     20462417     RESP   2592 
     20462425     RESP   2574 
     20462433     RESP   2558 
     20462441     RESP   2544 
     20462449     RESP   2532 
     20462457     RESP   2522 
     20462465     RESP   2513 
     20462473     RESP   2504 
     20462481     RESP   2495 
     20462489     RESP   2485 
     20462497     RESP   2475 
     20462505     RESP   2465 
     20462513     RESP   2453 
     20462521     RESP   2443 
     20462529     RESP   2432 
     20462537     RESP   2422 
     20462545     RESP   2411 
     20462553     RESP   2399 
     20462561     RESP   2388 
     20462569     RESP   2375 
     20462577     RESP   2363 
     20462585     RESP   2350 
     20462593     RESP   2338 
     20462601     RESP   2325 
     20462609     RESP   2312 
     20462617     RESP   2299 
     20462625     RESP   2286 
     20462633     RESP   2272 
     20462641     RESP   2258 
     20462649     RESP   2243 
     20462657     RESP   2228 
     20462665     RESP   2213 
     20462673     RESP   2199 
     20462681     RESP   2184 
     20462689     RESP   2171 
     20462697     RESP   2159 
     20462705     RESP   2148 
     20462713     RESP   2139 
     20462721     RESP   2130 
     20462729     RESP   2123 
     20462737     RESP   2117 
     20462745     RESP   2113 
     20462753     RESP   2109 
     20462761     RESP   2108 
     20462769     RESP   2107 
     20462777     RESP   2108 
     20462785     RESP   2110 
     20462793     RESP   2112 
     20462801     RESP   2113 
     20462809     RESP   2114 
     20462817     RESP   2116 
     20462825     RESP   2117 
     20462833     RESP   2118 
     20462841     RESP   2119 
     20462849     RESP   2120 
     20462857     RESP   2121 
     20462865     RESP   2121 
     20462873     RESP   2120 
     20462881     RESP   2120 
     20462889     RESP   2121 
     20462897     RESP   2123 
     20462905     RESP   2125 
     20462913     RESP   2127 
     20462921     RESP   2130 
     20462929     RESP   2135 
     20462937     RESP   2141 
     20462945     RESP   2148 
     20462953     RESP   2156 
     20462961     RESP   2167 
     20462969     RESP   2180 
     20462977     RESP   2194 
     20462985     RESP   2209 
     20462993     RESP   2225 
     20463001     RESP   2243 
     20463009     RESP   2262 
     20463017     RESP   2285 
     20463025     RESP   2309 
     20463033     RESP   2336 
     20463041     RESP   2364 
     20463049     RESP   2395 
     20463057     RESP   2427 
     20463065     RESP   2460 
     20463073     RESP   2495 
     20463081     RESP   2531 
     20463089     RESP   2568 
     20463097     RESP   2607 
     20463105     RESP   2647 
     20463113     RESP   2688 
     20463121     RESP   2730 
     20463129     RESP   2771 
     20463137     RESP   2813 
     20463145     RESP   2853 
     20463153     RESP   2894 
     20463161     RESP   2933 
     20463169     RESP   2973 
     20463177     RESP   3014 
     20463185     RESP   3054 
     20463193     RESP   3094 
     20463201     RESP   3132 
     20463209     RESP   3169 
     20463217     RESP   3204 
     20463225     RESP   3238 
     20463233     RESP   3270 
     20463241     RESP   3301 
     20463249     RESP   3331 
     20463257     RESP   3360 
     20463265     RESP   3387 
     20463273     RESP   3411 
     20463281     RESP   3434 
     20463289     RESP   3454 
     20463297     RESP   3473 
     20463305     RESP   3491 
     20463313     RESP   3507 
     20463321     RESP   3524 
     20463329     RESP   3540 
     20463337     RESP   3554 
     20463345     RESP   3567 
     20463353     RESP   3578 
     20463361     RESP   3589 
     20463369     RESP   3599 
     20463377     RESP   3607 
     20463385     RESP   3614 
     20463393     RESP   3619 
     20463401     RESP   3622 
     20463409     RESP   3623 
     20463417     RESP   3620 
     20463425     RESP   3614 
     20463433     RESP   3606 
     20463441     RESP   3595 
     20463449     RESP   3582 
     20463457     RESP   3567 
     20463465     RESP   3549 
     20463473     RESP   3529 
     20463481     RESP   3508 
     20463489     RESP   3485 
     20463497     RESP   3460 
     20463505     RESP   3434 
     20463513     RESP   3406 
     20463521     RESP   3378 
     20463529     RESP   3349 
     20463537     RESP   3319 
     20463545     RESP   3288 
     20463553     RESP   3257 
     20463561     RESP   3224 
     20463569     RESP   3189 
     20463577     RESP   3155 
     20463585     RESP   3119 
     20463593     RESP   3083 
     20463601     RESP   3047 
     20463609     RESP   3013 
     20463617     RESP   2979 
     20463625     RESP   2947 
     20463633     RESP   2916 
     20463641     RESP   2887 
     20463649     RESP   2858 
     20463657     RESP   2832 
     20463665     RESP   2807 
     20463673     RESP   2783 
     20463681     RESP   2761 
     20463689     RESP   2739 
     20463697     RESP   2717 
     20463705     RESP   2696 
     20463713     RESP   2673 
     20463721     RESP   2650 
     20463729     RESP   2626 
     20463737     RESP   2601 
     20463745     RESP   2576 
     20463753     RESP   2550 
     20463761     RESP   2523 
     20463769     RESP   2496 
     20463777     RESP   2468 
     20463785     RESP   2441 
     20463793     RESP   2415 
     20463801     RESP   2389 
     20463809     RESP   2364 
     20463817     RESP   2339 
     20463825     RESP   2314 
     20463833     RESP   2289 
     20463841     RESP   2265 
     20463849     RESP   2242 
     20463857     RESP   2219 
     20463865     RESP   2196 
     20463873     RESP   2174 
     20463881     RESP   2152 
     20463889     RESP   2130 
     20463897     RESP   2110 
     20463905     RESP   2091 
     20463913     RESP   2073 
     20463921     RESP   2058 
     20463929     RESP   2047 
     20463937     RESP   2036 
     20463945     RESP   2028 
     20463953     RESP   2021 
     20463961     RESP   2017 
     20463969     RESP   2014 
     20463977     RESP   2013 
     20463985     RESP   2013 
     20463993     RESP   2014 
     20464001     RESP   2015 
     20464009     RESP   2016 
     20464017     RESP   2016 
     20464025     RESP   2015 
     20464033     RESP   2012 
     20464041     RESP   2007 
     20464049     RESP   2001 
     20464057     RESP   1994 
     20464065     RESP   1987 
     20464073     RESP   1978 
     20464081     RESP   1968 
     20464089     RESP   1958 
     20464097     RESP   1946 
     20464105     RESP   1934 
     20464113     RESP   1924 
     20464121     RESP   1913 
     20464129     RESP   1904 
     20464137     RESP   1895 
     20464145     RESP   1888 
     20464153     RESP   1883 
     20464161     RESP   1879 
     20464169     RESP   1876 
     20464177     RESP   1873 
     20464185     RESP   1871 
     20464193     RESP   1871 
     20464201     RESP   1874 
     20464209     RESP   1880 
     20464217     RESP   1886 
     20464225     RESP   1894 
     20464233     RESP   1904 
     20464241     RESP   1917 
     20464249     RESP   1931 
     20464257     RESP   1947 
     20464265     RESP   1965 
     20464273     RESP   1986 
     20464281     RESP   2010 
     20464289     RESP   2036 
     20464297     RESP   2062 
     20464305     RESP   2091 
     20464313     RESP   2121 
     20464321     RESP   2153 
     20464329     RESP   2186 
     20464337     RESP   2219 
     20464345     RESP   2252 
     20464353     RESP   2286 
     20464361     RESP   2319 
     20464369     RESP   2354 
     20464377     RESP   2389 
     20464385     RESP   2424 
     20464393     RESP   2459 
     20464401     RESP   2493 
     20464409     RESP   2528 
     20464417     RESP   2563 
     20464425     RESP   2599 
     20464433     RESP   2636 
     20464441     RESP   2672 
     20464449     RESP   2711 
     20464457     RESP   2750 
     20464465     RESP   2789 
     20464473     RESP   2828 
     20464481     RESP   2867 
     20464489     RESP   2906 
     20464497     RESP   2946 
     20464505     RESP   2986 
     20464513     RESP   3027 
     20464521     RESP   3069 
     20464529     RESP   3111 
     20464537     RESP   3153 
     20464545     RESP   3195 
     20464553     RESP   3238 
     20464561     RESP   3281 
     20464569     RESP   3324 
     20464577     RESP   3368 
     20464585     RESP   3411 
     20464593     RESP   3455 
     20464601     RESP   3499 
     20464609     RESP   3542 
     20464617     RESP   3584 
     20464625     RESP   3626 
     20464633     RESP   3665 
     20464641     RESP   3702 
     20464649     RESP   3739 
     20464657     RESP   3773 
     20464665     RESP   3805 
     20464673     RESP   3833 
     20464681     RESP   3857 
     20464689     RESP   3878 
     20464697     RESP   3896 
     20464705     RESP   3910 
     20464713     RESP   3921 
     20464721     RESP   3927 
     20464729     RESP   3930 
     20464737     RESP   3930 
     20464745     RESP   3926 
     20464753     RESP   3917 
     20464761     RESP   3906 
     20464769     RESP   3893 
     20464777     RESP   3877 
     20464785     RESP   3860 
     20464793     RESP   3841 
     20464801     RESP   3821 
     20464809     RESP   3800 
     20464817     RESP   3779 
     20464825     RESP   3757 
     20464833     RESP   3735 
     20464841     RESP   3714 
     20464849     RESP   3694 
     20464857     RESP   3675 
     20464865     RESP   3656 
     20464873     RESP   3636 
     20464881     RESP   3617 
     20464889     RESP   3598 
     20464897     RESP   3579 
     20464905     RESP   3558 
     20464913     RESP   3537 
     20464921     RESP   3515 
     20464929     RESP   3492 
     20464937     RESP   3467 
     20464945     RESP   3442 
     20464953     RESP   3416 
     20464961     RESP   3390 
     20464969     RESP   3363 
     20464977     RESP   3336 
     20464985     RESP   3309 
     20464993     RESP   3282 
     20465001     RESP   3254 
     20465009     RESP   3226 
     20465017     RESP   3198 
     20465025     RESP   3170 
     20465033     RESP   3143 
     20465041     RESP   3116 
     20465049     RESP   3089 
     20465057     RESP   3061 
     20465065     RESP   3033 
     20465073     RESP   3004 
     20465081     RESP   2975 
     20465089     RESP   2947 
     20465097     RESP   2919 
     20465105     RESP   2894 
     20465113     RESP   2868 
     20465121     RESP   2844 
     20465129     RESP   2820 
     20465137     RESP   2797 
     20465145     RESP   2775 
     20465153     RESP   2755 
     20465161     RESP   2737 
     20465169     RESP   2720 
     20465177     RESP   2703 
     20465185     RESP   2688 
     20465193     RESP   2672 
     20465201     RESP   2656 
     20465209     RESP   2639 
     20465217     RESP   2623 
     20465225     RESP   2606 
     20465233     RESP   2589 
     20465241     RESP   2571 
     20465249     RESP   2552 
     20465257     RESP   2532 
     20465265     RESP   2511 
     20465273     RESP   2489 
     20465281     RESP   2469 
     20465289     RESP   2448 
     20465297     RESP   2427 
     20465305     RESP   2408 
     20465313     RESP   2387 
     20465321     RESP   2367 
     20465329     RESP   2347 
     20465337     RESP   2328 
     20465345     RESP   2309 
     20465353     RESP   2289 
     20465361     RESP   2271 
     20465369     RESP   2251 
     20465377     RESP   2231 
     20465385     RESP   2211 
     20465393     RESP   2191 
     20465401     RESP   2171 
     20465409     RESP   2152 
     20465417     RESP   2135 
     20465425     RESP   2118 
     20465433     RESP   2104 
     20465441     RESP   2091 
     20465449     RESP   2079 
     20465457     RESP   2070 
     20465465     RESP   2064 
     20465473     RESP   2059 
     20465481     RESP   2056 
     20465489     RESP   2055 
     20465497     RESP   2055 
     20465505     RESP   2055 
     20465513     RESP   2057 
     20465521     RESP   2057 
     20465529     RESP   2057 
     20465537     RESP   2057 
     20465545     RESP   2058 
     20465553     RESP   2058 
     20465561     RESP   2058 
     20465569     RESP   2058 
     20465577     RESP   2058 
     20465585     RESP   2057 
     20465593     RESP   2057 
     20465601     RESP   2057 
     20465609     RESP   2058 
     20465617     RESP   2060 
     20465625     RESP   2064 
     20465633     RESP   2069 
     20465641     RESP   2076 
     20465649     RESP   2084 
     20465657     RESP   2093 
     20465665     RESP   2104 
     20465673     RESP   2117 
     20465681     RESP   2132 
     20465689     RESP   2149 
     20465697     RESP   2168 
     20465705     RESP   2189 
     20465713     RESP   2211 
     20465721     RESP   2234 
     20465729     RESP   2257 
     20465737     RESP   2281 
     20465745     RESP   2306 
     20465753     RESP   2331 
     20465761     RESP   2356 
     20465769     RESP   2382 
     20465777     RESP   2408 
     20465785     RESP   2432 
     20465793     RESP   2457 
     20465801     RESP   2481 
     20465809     RESP   2504 
     20465817     RESP   2528 
     20465825     RESP   2553 
     20465833     RESP   2577 
     20465841     RESP   2603 
     20465849     RESP   2628 
     20465857     RESP   2655 
     20465865     RESP   2682 
     20465873     RESP   2710 
     20465881     RESP   2739 
     20465889     RESP   2768 
     20465897     RESP   2799 
     20465905     RESP   2831 
     20465913     RESP   2862 
     20465921     RESP   2894 
     20465929     RESP   2926 
     20465937     RESP   2957 
     20465945     RESP   2988 
     20465953     RESP   3018 
     20465961     RESP   3046 
     20465969     RESP   3072 
     20465977     RESP   3096 
     20465985     RESP   3118 
     20465993     RESP   3138 
     20466001     RESP   3156 
     20466009     RESP   3173 
     20466017     RESP   3187 
     20466025     RESP   3199 
     20466033     RESP   3209 
     20466041     RESP   3218 
     20466049     RESP   3225 
     20466057     RESP   3229 
     20466065     RESP   3232 
     20466073     RESP   3233 
     20466081     RESP   3233 
     20466089     RESP   3231 
     20466097     RESP   3227 
     20466105     RESP   3221 
     20466113     RESP   3212 
     20466121     RESP   3203 
     20466129     RESP   3191 
     20466137     RESP   3178 
     20466145     RESP   3164 
     20466153     RESP   3150 
     20466161     RESP   3135 
     20466169     RESP   3120 
     20466177     RESP   3104 
     20466185     RESP   3087 
     20466193     RESP   3071 
     20466201     RESP   3053 
     20466209     RESP   3035 
     20466217     RESP   3016 
     20466225     RESP   2997 
     20466233     RESP   2976 
     20466241     RESP   2955 
     20466249     RESP   2933 
     20466257     RESP   2910 
     20466265     RESP   2885 
     20466273     RESP   2859 
     20466281     RESP   2833 
     20466289     RESP   2807 
     20466297     RESP   2782 
     20466305     RESP   2759 
     20466313     RESP   2736 
     20466321     RESP   2714 
     20466329     RESP   2693 
     20466337     RESP   2672 
     20466345     RESP   2652 
     20466353     RESP   2634 
     20466361     RESP   2618 
     20466369     RESP   2602 
     20466377     RESP   2588 
     20466385     RESP   2574 
     20466393     RESP   2560 
     20466401     RESP   2545 
     20466409     RESP   2529 
     20466417     RESP   2512 
     20466425     RESP   2494 
     20466433     RESP   2477 
     20466441     RESP   2459 
     20466449     RESP   2440 
     20466457     RESP   2420 
     20466465     RESP   2399 
     20466473     RESP   2376 
     20466481     RESP   2354 
     20466489     RESP   2330 
     20466497     RESP   2306 
     20466505     RESP   2282 
     20466513     RESP   2259 
     20466521     RESP   2238 
     20466529     RESP   2216 
     20466537     RESP   2196 
     20466545     RESP   2175 
     20466553     RESP   2156 
     20466561     RESP   2139 
     20466569     RESP   2123 
     20466577     RESP   2107 
     20466585     RESP   2092 
     20466593     RESP   2079 
     20466601     RESP   2068 
     20466609     RESP   2058 
     20466617     RESP   2050 
     20466625     RESP   2044 
     20466633     RESP   2038 
     20466641     RESP   2032 
     20466649     RESP   2027 
     20466657     RESP   2023 
     20466665     RESP   2021 
     20466673     RESP   2019 
     20466681     RESP   2019 
     20466689     RESP   2018 
     20466697     RESP   2018 
     20466705     RESP   2017 
     20466713     RESP   2015 
     20466721     RESP   2012 
     20466729     RESP   2008 
     20466737     RESP   2004 
     20466745     RESP   1999 
     20466753     RESP   1993 
     20466761     RESP   1986 
     20466769     RESP   1978 
     20466777     RESP   1969 
     20466785     RESP   1959 
     20466793     RESP   1948 
     20466801     RESP   1938 
     20466809     RESP   1927 
     20466817     RESP   1917 
     20466825     RESP   1907 
     20466833     RESP   1898 
     20466841     RESP   1891 
     20466849     RESP   1884 
     20466857     RESP   1879 
     20466865     RESP   1875 
     20466873     RESP   1873 
     20466881     RESP   1873 
     20466889     RESP   1874 
     20466897     RESP   1876 
     20466905     RESP   1880 
     20466913     RESP   1886 
     20466921     RESP   1895 
     20466929     RESP   1905 
     20466937     RESP   1917 
     20466945     RESP   1930 
     20466953     RESP   1945 
     20466961     RESP   1961 
     20466969     RESP   1977 
     20466977     RESP   1995 
     20466985     RESP   2014 
     20466993     RESP   2035 
     20467001     RESP   2055 
     20467009     RESP   2079 
     20467017     RESP   2103 
     20467025     RESP   2127 
     20467033     RESP   2151 
     20467041     RESP   2174 
     20467049     RESP   2198 
     20467057     RESP   2222 
     20467065     RESP   2247 
     20467073     RESP   2273 
     20467081     RESP   2297 
     20467089     RESP   2321 
     20467097     RESP   2346 
     20467105     RESP   2370 
     20467113     RESP   2393 
     20467121     RESP   2414 
     20467129     RESP   2436 
     20467137     RESP   2458 
     20467145     RESP   2480 
     20467153     RESP   2502 
     20467161     RESP   2523 
     20467169     RESP   2544 
     20467177     RESP   2565 
     20467185     RESP   2586 
     20467193     RESP   2607 
     20467201     RESP   2629 
     20467209     RESP   2651 
     20467217     RESP   2673 
     20467225     RESP   2697 
     20467233     RESP   2722 
     20467241     RESP   2747 
     20467249     RESP   2772 
     20467257     RESP   2798 
     20467265     RESP   2825 
     20467273     RESP   2853 
     20467281     RESP   2880 
     20467289     RESP   2907 
     20467297     RESP   2934 
     20467305     RESP   2961 
     20467313     RESP   2987 
     20467321     RESP   3012 
     20467329     RESP   3036 
     20467337     RESP   3059 
     20467345     RESP   3080 
     20467353     RESP   3099 
     20467361     RESP   3115 
     20467369     RESP   3129 
     20467377     RESP   3141 
     20467385     RESP   3150 
     20467393     RESP   3157 
     20467401     RESP   3162 
     20467409     RESP   3165 
     20467417     RESP   3165 
     20467425     RESP   3162 
     20467433     RESP   3158 
     20467441     RESP   3150 
     20467449     RESP   3140 
     20467457     RESP   3129 
     20467465     RESP   3116 
     20467473     RESP   3100 
     20467481     RESP   3083 
     20467489     RESP   3065 
     20467497     RESP   3044 
     20467505     RESP   3022 
     20467513     RESP   2999 
     20467521     RESP   2976 
     20467529     RESP   2952 
     20467537     RESP   2928 
     20467545     RESP   2905 
     20467553     RESP   2883 
     20467561     RESP   2861 
     20467569     RESP   2840 
     20467577     RESP   2819 
     20467585     RESP   2800 
     20467593     RESP   2783 
     20467601     RESP   2766 
     20467609     RESP   2751 
     20467617     RESP   2736 
     20467625     RESP   2722 
     20467633     RESP   2708 
     20467641     RESP   2696 
     20467649     RESP   2682 
     20467657     RESP   2670 
     20467665     RESP   2657 
     20467673     RESP   2644 
     20467681     RESP   2630 
     20467689     RESP   2615 
     20467697     RESP   2600 
     20467705     RESP   2585 
     20467713     RESP   2569 
     20467721     RESP   2552 
     20467729     RESP   2534 
     20467737     RESP   2516 
     20467745     RESP   2496 
     20467753     RESP   2475 
     20467761     RESP   2453 
     20467769     RESP   2430 
     20467777     RESP   2407 
     20467785     RESP   2383 
     20467793     RESP   2360 
     20467801     RESP   2336 
     20467809     RESP   2312 
     20467817     RESP   2288 
     20467825     RESP   2264 
     20467833     RESP   2240 
     20467841     RESP   2217 
     20467849     RESP   2195 
     20467857     RESP   2174 
     20467865     RESP   2155 
