UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20243010     RESP   1603 
     20243018     RESP   1564 
     20243026     RESP   1525 
     20243034     RESP   1486 
     20243042     RESP   1446 
     20243050     RESP   1406 
     20243058     RESP   1366 
     20243066     RESP   1325 
     20243074     RESP   1284 
     20243082     RESP   1244 
     20243090     RESP   1206 
     20243098     RESP   1170 
     20243106     RESP   1137 
     20243114     RESP   1105 
     20243122     RESP   1075 
     20243130     RESP   1048 
     20243138     RESP   1022 
     20243146     RESP    998 
     20243154     RESP    977 
     20243162     RESP    960 
     20243170     RESP    946 
     20243178     RESP    935 
     20243186     RESP    927 
     20243194     RESP    920 
     20243202     RESP    916 
     20243210     RESP    913 
     20243218     RESP    912 
     20243226     RESP    914 
     20243234     RESP    919 
     20243242     RESP    928 
     20243250     RESP    940 
     20243258     RESP    955 
     20243266     RESP    971 
     20243274     RESP    991 
     20243282     RESP   1013 
     20243290     RESP   1037 
     20243298     RESP   1064 
     20243306     RESP   1094 
     20243314     RESP   1126 
     20243322     RESP   1159 
     20243330     RESP   1195 
     20243338     RESP   1231 
     20243346     RESP   1267 
     20243354     RESP   1306 
     20243362     RESP   1345 
     20243370     RESP   1385 
     20243378     RESP   1426 
     20243386     RESP   1468 
     20243394     RESP   1511 
     20243402     RESP   1555 
     20243410     RESP   1601 
     20243418     RESP   1648 
     20243426     RESP   1695 
     20243434     RESP   1743 
     20243442     RESP   1792 
     20243450     RESP   1842 
     20243458     RESP   1892 
     20243466     RESP   1942 
     20243474     RESP   1992 
     20243482     RESP   2042 
     20243490     RESP   2090 
     20243498     RESP   2139 
     20243506     RESP   2186 
     20243514     RESP   2232 
     20243522     RESP   2277 
     20243530     RESP   2322 
     20243538     RESP   2365 
     20243546     RESP   2408 
     20243554     RESP   2450 
     20243562     RESP   2491 
     20243570     RESP   2531 
     20243578     RESP   2569 
     20243586     RESP   2606 
     20243594     RESP   2643 
     20243602     RESP   2677 
     20243610     RESP   2710 
     20243618     RESP   2741 
     20243626     RESP   2769 
     20243634     RESP   2795 
     20243642     RESP   2819 
     20243650     RESP   2837 
     20243658     RESP   2853 
     20243666     RESP   2865 
     20243674     RESP   2875 
     20243682     RESP   2882 
     20243690     RESP   2885 
     20243698     RESP   2886 
     20243706     RESP   2883 
     20243714     RESP   2878 
     20243722     RESP   2871 
     20243730     RESP   2861 
     20243738     RESP   2850 
     20243746     RESP   2837 
     20243754     RESP   2822 
     20243762     RESP   2805 
     20243770     RESP   2786 
     20243778     RESP   2765 
     20243786     RESP   2743 
     20243794     RESP   2720 
     20243802     RESP   2695 
     20243810     RESP   2670 
     20243818     RESP   2643 
     20243826     RESP   2615 
     20243834     RESP   2588 
     20243842     RESP   2559 
     20243850     RESP   2530 
     20243858     RESP   2501 
     20243866     RESP   2471 
     20243874     RESP   2442 
     20243882     RESP   2412 
     20243890     RESP   2383 
     20243898     RESP   2352 
     20243906     RESP   2321 
     20243914     RESP   2291 
     20243922     RESP   2259 
     20243930     RESP   2227 
     20243938     RESP   2194 
     20243946     RESP   2161 
     20243954     RESP   2127 
     20243962     RESP   2094 
     20243970     RESP   2060 
     20243978     RESP   2029 
     20243986     RESP   1996 
     20243994     RESP   1964 
     20244002     RESP   1933 
     20244010     RESP   1902 
     20244018     RESP   1872 
     20244026     RESP   1843 
     20244034     RESP   1814 
     20244042     RESP   1787 
     20244050     RESP   1760 
     20244058     RESP   1734 
     20244066     RESP   1708 
     20244074     RESP   1682 
     20244082     RESP   1655 
     20244090     RESP   1628 
     20244098     RESP   1601 
     20244106     RESP   1573 
     20244114     RESP   1544 
     20244122     RESP   1514 
     20244130     RESP   1484 
     20244138     RESP   1452 
     20244146     RESP   1420 
     20244154     RESP   1387 
     20244162     RESP   1353 
     20244170     RESP   1319 
     20244178     RESP   1285 
     20244186     RESP   1250 
     20244194     RESP   1216 
     20244202     RESP   1183 
     20244210     RESP   1150 
     20244218     RESP   1118 
     20244226     RESP   1087 
     20244234     RESP   1057 
     20244242     RESP   1029 
     20244250     RESP   1002 
     20244258     RESP    976 
     20244266     RESP    952 
     20244274     RESP    929 
     20244282     RESP    910 
     20244290     RESP    892 
     20244298     RESP    876 
     20244306     RESP    863 
     20244314     RESP    853 
     20244322     RESP    846 
     20244330     RESP    841 
     20244338     RESP    839 
     20244346     RESP    841 
     20244354     RESP    845 
     20244362     RESP    853 
     20244370     RESP    863 
     20244378     RESP    875 
     20244386     RESP    890 
     20244394     RESP    909 
     20244402     RESP    930 
     20244410     RESP    953 
     20244418     RESP    977 
     20244426     RESP   1003 
     20244434     RESP   1031 
     20244442     RESP   1062 
     20244450     RESP   1095 
     20244458     RESP   1129 
     20244466     RESP   1166 
     20244474     RESP   1204 
     20244482     RESP   1243 
     20244490     RESP   1282 
     20244498     RESP   1322 
     20244506     RESP   1363 
     20244514     RESP   1403 
     20244522     RESP   1445 
     20244530     RESP   1485 
     20244538     RESP   1525 
     20244546     RESP   1565 
     20244554     RESP   1604 
     20244562     RESP   1644 
     20244570     RESP   1684 
     20244578     RESP   1724 
     20244586     RESP   1765 
     20244594     RESP   1807 
     20244602     RESP   1849 
     20244610     RESP   1892 
     20244618     RESP   1936 
     20244626     RESP   1981 
     20244634     RESP   2026 
     20244642     RESP   2070 
     20244650     RESP   2114 
     20244658     RESP   2158 
     20244666     RESP   2201 
     20244674     RESP   2243 
     20244682     RESP   2283 
     20244690     RESP   2322 
     20244698     RESP   2360 
     20244706     RESP   2397 
     20244714     RESP   2432 
     20244722     RESP   2466 
     20244730     RESP   2497 
     20244738     RESP   2526 
     20244746     RESP   2553 
     20244754     RESP   2579 
     20244762     RESP   2603 
     20244770     RESP   2624 
     20244778     RESP   2642 
     20244786     RESP   2657 
     20244794     RESP   2668 
     20244802     RESP   2675 
     20244810     RESP   2678 
     20244818     RESP   2677 
     20244826     RESP   2673 
     20244834     RESP   2666 
     20244842     RESP   2657 
     20244850     RESP   2644 
     20244858     RESP   2628 
     20244866     RESP   2610 
     20244874     RESP   2591 
     20244882     RESP   2570 
     20244890     RESP   2547 
     20244898     RESP   2525 
     20244906     RESP   2502 
     20244914     RESP   2479 
     20244922     RESP   2456 
     20244930     RESP   2433 
     20244938     RESP   2409 
     20244946     RESP   2385 
     20244954     RESP   2360 
     20244962     RESP   2336 
     20244970     RESP   2310 
     20244978     RESP   2284 
     20244986     RESP   2258 
     20244994     RESP   2231 
     20245002     RESP   2204 
     20245010     RESP   2176 
     20245018     RESP   2147 
     20245026     RESP   2117 
     20245034     RESP   2087 
     20245042     RESP   2055 
     20245050     RESP   2024 
     20245058     RESP   1991 
     20245066     RESP   1956 
     20245074     RESP   1921 
     20245082     RESP   1883 
     20245090     RESP   1846 
     20245098     RESP   1807 
     20245106     RESP   1769 
     20245114     RESP   1730 
     20245122     RESP   1691 
     20245130     RESP   1652 
     20245138     RESP   1614 
     20245146     RESP   1577 
     20245154     RESP   1542 
     20245162     RESP   1510 
     20245170     RESP   1479 
     20245178     RESP   1450 
     20245186     RESP   1423 
     20245194     RESP   1397 
     20245202     RESP   1373 
     20245210     RESP   1350 
     20245218     RESP   1329 
     20245226     RESP   1309 
     20245234     RESP   1289 
     20245242     RESP   1271 
     20245250     RESP   1252 
     20245258     RESP   1232 
     20245266     RESP   1211 
     20245274     RESP   1190 
     20245282     RESP   1169 
     20245290     RESP   1148 
     20245298     RESP   1126 
     20245306     RESP   1103 
     20245314     RESP   1079 
     20245322     RESP   1054 
     20245330     RESP   1028 
     20245338     RESP   1003 
     20245346     RESP    977 
     20245354     RESP    952 
     20245362     RESP    926 
     20245370     RESP    902 
     20245378     RESP    878 
     20245386     RESP    854 
     20245394     RESP    830 
     20245402     RESP    808 
     20245410     RESP    786 
     20245418     RESP    766 
     20245426     RESP    749 
     20245434     RESP    733 
     20245442     RESP    721 
     20245450     RESP    710 
     20245458     RESP    701 
     20245466     RESP    697 
     20245474     RESP    694 
     20245482     RESP    695 
     20245490     RESP    700 
     20245498     RESP    709 
     20245506     RESP    722 
     20245514     RESP    739 
     20245522     RESP    758 
     20245530     RESP    781 
     20245538     RESP    806 
     20245546     RESP    833 
     20245554     RESP    862 
     20245562     RESP    893 
     20245570     RESP    926 
     20245578     RESP    960 
     20245586     RESP    995 
     20245594     RESP   1031 
     20245602     RESP   1069 
     20245610     RESP   1107 
     20245618     RESP   1146 
     20245626     RESP   1184 
     20245634     RESP   1223 
     20245642     RESP   1263 
     20245650     RESP   1303 
     20245658     RESP   1343 
     20245666     RESP   1384 
     20245674     RESP   1424 
     20245682     RESP   1464 
     20245690     RESP   1503 
     20245698     RESP   1542 
     20245706     RESP   1581 
     20245714     RESP   1619 
     20245722     RESP   1657 
     20245730     RESP   1695 
     20245738     RESP   1733 
     20245746     RESP   1771 
     20245754     RESP   1810 
     20245762     RESP   1850 
     20245770     RESP   1891 
     20245778     RESP   1933 
     20245786     RESP   1975 
     20245794     RESP   2018 
     20245802     RESP   2060 
     20245810     RESP   2103 
     20245818     RESP   2147 
     20245826     RESP   2190 
     20245834     RESP   2232 
     20245842     RESP   2274 
     20245850     RESP   2314 
     20245858     RESP   2351 
     20245866     RESP   2386 
     20245874     RESP   2418 
     20245882     RESP   2448 
     20245890     RESP   2474 
     20245898     RESP   2496 
     20245906     RESP   2516 
     20245914     RESP   2531 
     20245922     RESP   2543 
     20245930     RESP   2551 
     20245938     RESP   2555 
