UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20241600     PULS   2012 
     20241602     PULS   2001 
     20241604     PULS   2001 
     20241606     PULS   2012 
     20241608     PULS   2024 
     20241610     PULS   2036 
     20241624     PULS   2059 
     20241626     PULS   2059 
     20241628     PULS   2071 
     20241630     PULS   2071 
     20241632     PULS   2071 
     20241634     PULS   2071 
     20241636     PULS   2059 
     20241638     PULS   2059 
     20241646     PULS   2033 
     20241648     PULS   2033 
     20241650     PULS   2033 
     20241652     PULS   2018 
     20241654     PULS   2003 
     20241656     PULS   2003 
     20241658     PULS   1989 
     20241660     PULS   1989 
     20241662     PULS   1989 
     20241664     PULS   1989 
     20241666     PULS   2003 
     20241668     PULS   2033 
     20241670     PULS   2062 
     20241672     PULS   2107 
     20241674     PULS   2151 
     20241676     PULS   2195 
     20241678     PULS   2239 
     20241680     PULS   2313 
     20241682     PULS   2357 
     20241684     PULS   2402 
     20241686     PULS   2461 
     20241688     PULS   2505 
     20241690     PULS   2549 
     20241692     PULS   2579 
     20241694     PULS   2593 
     20241696     PULS   2623 
     20241698     PULS   2638 
     20241700     PULS   2652 
     20241702     PULS   2667 
     20241704     PULS   2682 
     20241706     PULS   2697 
     20241708     PULS   2726 
     20241710     PULS   2726 
     20241712     PULS   2726 
     20241714     PULS   2726 
     20241716     PULS   2726 
     20241718     PULS   2711 
     20241720     PULS   2697 
     20241722     PULS   2682 
     20241724     PULS   2667 
     20241726     PULS   2652 
     20241728     PULS   2638 
     20241730     PULS   2638 
     20241732     PULS   2623 
     20241734     PULS   2623 
     20241736     PULS   2608 
     20241738     PULS   2608 
     20241740     PULS   2623 
     20241742     PULS   2608 
     20241744     PULS   2608 
     20241746     PULS   2608 
     20241748     PULS   2593 
     20241750     PULS   2579 
     20241752     PULS   2579 
     20241732     PULS   2048  PULS_TRIGGER
     20241754     PULS   2564 
     20241756     PULS   2549 
     20241758     PULS   2534 
     20241760     PULS   2505 
     20241762     PULS   2475 
     20241764     PULS   2431 
     20241766     PULS   2416 
     20241768     PULS   2416 
     20241770     PULS   2387 
     20241772     PULS   2372 
     20241774     PULS   2357 
     20241776     PULS   2357 
     20241778     PULS   2343 
     20241780     PULS   2313 
     20241782     PULS   2298 
     20241784     PULS   2284 
     20241786     PULS   2254 
     20241788     PULS   2239 
     20241790     PULS   2225 
     20241792     PULS   2210 
     20241794     PULS   2195 
     20241796     PULS   2180 
     20241798     PULS   2151 
     20241800     PULS   2151 
     20241802     PULS   2151 
     20241804     PULS   2136 
     20241806     PULS   2136 
     20241808     PULS   2136 
     20241810     PULS   2121 
     20241812     PULS   2121 
     20241814     PULS   2136 
     20241816     PULS   2151 
     20241818     PULS   2136 
     20241820     PULS   2151 
     20241822     PULS   2151 
     20241824     PULS   2166 
     20241826     PULS   2180 
     20241828     PULS   2166 
     20241830     PULS   2180 
     20241832     PULS   2195 
     20241834     PULS   2210 
     20241836     PULS   2210 
     20241838     PULS   2225 
     20241840     PULS   2225 
     20241842     PULS   2239 
     20241844     PULS   2239 
     20241846     PULS   2225 
     20241848     PULS   2210 
     20241850     PULS   2180 
     20241852     PULS   2166 
     20241854     PULS   2136 
     20241856     PULS   2121 
     20241858     PULS   2121 
     20241860     PULS   2107 
     20241862     PULS   2107 
     20241864     PULS   2107 
     20241866     PULS   2077 
     20241868     PULS   2077 
     20241870     PULS   2062 
     20241876     PULS   2033 
     20241878     PULS   2018 
     20241880     PULS   2018 
     20241882     PULS   2003 
     20241884     PULS   2003 
     20241886     PULS   2003 
     20241888     PULS   1989 
     20241890     PULS   1989 
     20241892     PULS   1974 
     20241894     PULS   1989 
     20241896     PULS   1974 
     20241898     PULS   1959 
     20241900     PULS   1959 
     20241902     PULS   1944 
     20241904     PULS   1944 
     20241906     PULS   1944 
     20241908     PULS   1944 
     20241910     PULS   1944 
     20241912     PULS   1944 
     20241914     PULS   1959 
     20241916     PULS   1959 
     20241918     PULS   1959 
     20241920     PULS   1974 
     20241922     PULS   1959 
     20241924     PULS   1974 
     20241926     PULS   1959 
     20241928     PULS   1959 
     20241930     PULS   1959 
     20241932     PULS   1944 
     20241934     PULS   1930 
     20241936     PULS   1915 
     20241938     PULS   1900 
     20241940     PULS   1885 
     20241942     PULS   1871 
     20241944     PULS   1856 
     20241946     PULS   1841 
     20241948     PULS   1826 
     20241950     PULS   1826 
     20241952     PULS   1841 
     20241954     PULS   1841 
     20241956     PULS   1856 
     20241958     PULS   1871 
     20241960     PULS   1885 
     20241962     PULS   1885 
     20241964     PULS   1915 
     20241966     PULS   1944 
     20241968     PULS   1959 
     20241970     PULS   1974 
     20241972     PULS   2003 
     20241974     PULS   2033 
     20241978     PULS   2077 
     20241980     PULS   2107 
     20241982     PULS   2136 
     20241984     PULS   2180 
     20241986     PULS   2225 
     20241988     PULS   2239 
     20241990     PULS   2269 
     20241992     PULS   2269 
     20241994     PULS   2298 
     20241996     PULS   2298 
     20241998     PULS   2328 
     20242000     PULS   2343 
     20242002     PULS   2387 
     20242004     PULS   2402 
     20242006     PULS   2431 
     20242008     PULS   2446 
     20242010     PULS   2461 
     20242012     PULS   2490 
     20242014     PULS   2520 
     20242016     PULS   2520 
     20242018     PULS   2534 
     20242020     PULS   2534 
     20242022     PULS   2534 
     20242024     PULS   2534 
     20242026     PULS   2520 
     20242028     PULS   2520 
     20242030     PULS   2505 
     20242032     PULS   2520 
     20242034     PULS   2505 
     20242036     PULS   2490 
     20242038     PULS   2461 
     20242040     PULS   2446 
     20242042     PULS   2431 
     20242044     PULS   2416 
     20242046     PULS   2402 
     20242048     PULS   2387 
     20242050     PULS   2372 
     20242052     PULS   2372 
     20242054     PULS   2357 
     20242056     PULS   2343 
     20242058     PULS   2313 
     20242060     PULS   2298 
     20242062     PULS   2269 
     20242064     PULS   2239 
     20242066     PULS   2210 
     20242068     PULS   2166 
     20242070     PULS   2136 
     20242072     PULS   2107 
     20242044     PULS   2048  PULS_TRIGGER
     20242074     PULS   2077 
     20242076     PULS   2062 
     20242078     PULS   2062 
     20242080     PULS   2062 
     20242082     PULS   2062 
     20242084     PULS   2062 
     20242090     PULS   2033 
     20242092     PULS   2003 
     20242094     PULS   2003 
     20242096     PULS   2003 
     20242098     PULS   2003 
     20242100     PULS   2018 
     20242102     PULS   2033 
     20242104     PULS   2033 
     20242110     PULS   2062 
     20242112     PULS   2062 
     20242114     PULS   2062 
     20242116     PULS   2077 
     20242118     PULS   2077 
     20242120     PULS   2077 
     20242122     PULS   2077 
     20242124     PULS   2077 
     20242126     PULS   2077 
     20242128     PULS   2077 
     20242130     PULS   2092 
     20242132     PULS   2092 
     20242134     PULS   2092 
     20242136     PULS   2121 
     20242138     PULS   2121 
     20242140     PULS   2121 
     20242142     PULS   2121 
     20242144     PULS   2121 
     20242146     PULS   2121 
     20242148     PULS   2121 
     20242150     PULS   2121 
     20242152     PULS   2121 
     20242154     PULS   2121 
     20242156     PULS   2136 
     20242158     PULS   2121 
     20242160     PULS   2136 
     20242162     PULS   2136 
     20242164     PULS   2121 
     20242166     PULS   2121 
     20242168     PULS   2107 
     20242170     PULS   2077 
     20242172     PULS   2077 
     20242174     PULS   2062 
     20242178     PULS   2018 
     20242180     PULS   2003 
     20242182     PULS   1974 
     20242184     PULS   1944 
     20242186     PULS   1930 
     20242188     PULS   1915 
     20242190     PULS   1900 
     20242192     PULS   1915 
     20242194     PULS   1915 
     20242196     PULS   1930 
     20242198     PULS   1944 
     20242200     PULS   1959 
     20242202     PULS   1959 
     20242204     PULS   1974 
     20242206     PULS   1974 
     20242208     PULS   1989 
     20242210     PULS   1974 
     20242212     PULS   1989 
     20242214     PULS   2003 
     20242216     PULS   2003 
     20242218     PULS   2003 
     20242220     PULS   2003 
     20242222     PULS   2003 
     20242224     PULS   2003 
     20242226     PULS   1989 
     20242228     PULS   2003 
     20242230     PULS   2003 
     20242232     PULS   2018 
     20242234     PULS   2018 
     20242236     PULS   2018 
     20242238     PULS   2003 
     20242240     PULS   1989 
     20242242     PULS   1959 
     20242244     PULS   1930 
     20242246     PULS   1915 
     20242248     PULS   1885 
     20242250     PULS   1871 
     20242252     PULS   1856 
     20242254     PULS   1856 
     20242256     PULS   1856 
     20242258     PULS   1871 
     20242260     PULS   1885 
     20242262     PULS   1915 
     20242264     PULS   1944 
     20242266     PULS   1974 
     20242268     PULS   1989 
     20242270     PULS   2018 
     20242272     PULS   2033 
     20242274     PULS   2033 
     20242278     PULS   2062 
     20242280     PULS   2062 
     20242282     PULS   2077 
     20242284     PULS   2107 
     20242286     PULS   2136 
     20242288     PULS   2166 
     20242290     PULS   2195 
     20242292     PULS   2239 
     20242294     PULS   2269 
     20242296     PULS   2313 
     20242298     PULS   2343 
     20242300     PULS   2372 
     20242302     PULS   2402 
     20242304     PULS   2431 
     20242306     PULS   2446 
     20242308     PULS   2475 
     20242310     PULS   2490 
     20242312     PULS   2490 
     20242314     PULS   2490 
     20242316     PULS   2490 
     20242318     PULS   2475 
     20242320     PULS   2461 
     20242322     PULS   2461 
     20242324     PULS   2446 
     20242326     PULS   2431 
     20242328     PULS   2416 
     20242330     PULS   2402 
     20242332     PULS   2402 
     20242334     PULS   2387 
     20242336     PULS   2372 
     20242338     PULS   2372 
     20242340     PULS   2357 
     20242342     PULS   2343 
     20242344     PULS   2313 
     20242346     PULS   2284 
     20242348     PULS   2254 
     20242350     PULS   2239 
     20242352     PULS   2225 
     20242336     PULS   2048  PULS_TRIGGER
     20242354     PULS   2225 
     20242356     PULS   2239 
     20242358     PULS   2254 
     20242360     PULS   2269 
     20242362     PULS   2298 
     20242364     PULS   2298 
     20242366     PULS   2313 
     20242368     PULS   2328 
     20242370     PULS   2328 
     20242372     PULS   2343 
     20242374     PULS   2343 
     20242376     PULS   2328 
     20242378     PULS   2313 
     20242380     PULS   2298 
     20242382     PULS   2298 
     20242384     PULS   2284 
     20242386     PULS   2284 
     20242388     PULS   2284 
     20242390     PULS   2284 
     20242392     PULS   2284 
     20242394     PULS   2269 
     20242396     PULS   2284 
     20242398     PULS   2269 
     20242400     PULS   2254 
     20242402     PULS   2239 
     20242404     PULS   2225 
     20242406     PULS   2225 
     20242408     PULS   2210 
     20242410     PULS   2210 
     20242412     PULS   2225 
     20242414     PULS   2225 
     20242416     PULS   2210 
     20242418     PULS   2210 
     20242420     PULS   2195 
     20242422     PULS   2180 
     20242424     PULS   2166 
     20242426     PULS   2151 
     20242428     PULS   2121 
     20242430     PULS   2121 
     20242432     PULS   2107 
     20242434     PULS   2092 
     20242436     PULS   2092 
     20242438     PULS   2077 
     20242440     PULS   2077 
     20242442     PULS   2077 
     20242444     PULS   2062 
     20242448     PULS   2018 
     20242450     PULS   2003 
     20242452     PULS   1974 
     20242454     PULS   1944 
     20242456     PULS   1944 
     20242458     PULS   1930 
     20242460     PULS   1900 
     20242462     PULS   1900 
     20242464     PULS   1871 
     20242466     PULS   1856 
     20242468     PULS   1826 
     20242470     PULS   1812 
     20242472     PULS   1767 
     20242474     PULS   1753 
     20242476     PULS   1738 
     20242478     PULS   1723 
     20242480     PULS   1723 
     20242482     PULS   1723 
     20242484     PULS   1738 
     20242486     PULS   1738 
     20242488     PULS   1738 
     20242490     PULS   1723 
     20242492     PULS   1723 
     20242494     PULS   1723 
     20242496     PULS   1723 
     20242498     PULS   1738 
     20242500     PULS   1738 
     20242502     PULS   1738 
     20242504     PULS   1738 
     20242506     PULS   1753 
     20242508     PULS   1767 
     20242510     PULS   1782 
     20242512     PULS   1797 
     20242514     PULS   1812 
     20242516     PULS   1841 
     20242518     PULS   1871 
     20242520     PULS   1885 
     20242522     PULS   1900 
     20242524     PULS   1930 
     20242526     PULS   1944 
     20242528     PULS   1974 
     20242530     PULS   1989 
     20242532     PULS   2003 
     20242534     PULS   2003 
     20242536     PULS   2003 
     20242538     PULS   2003 
     20242540     PULS   2003 
     20242542     PULS   2003 
     20242544     PULS   2003 
     20242546     PULS   2003 
     20242548     PULS   2003 
     20242550     PULS   2003 
     20242552     PULS   2003 
     20242554     PULS   2018 
     20242556     PULS   2018 
     20242560     PULS   2062 
     20242562     PULS   2092 
     20242564     PULS   2121 
     20242566     PULS   2166 
     20242568     PULS   2210 
     20242570     PULS   2254 
     20242572     PULS   2298 
     20242574     PULS   2328 
     20242576     PULS   2372 
     20242578     PULS   2416 
     20242580     PULS   2461 
     20242582     PULS   2475 
     20242584     PULS   2520 
     20242586     PULS   2534 
     20242588     PULS   2549 
     20242590     PULS   2564 
     20242592     PULS   2579 
     20242594     PULS   2593 
     20242596     PULS   2593 
     20242598     PULS   2608 
     20242600     PULS   2608 
     20242602     PULS   2623 
     20242604     PULS   2623 
     20242606     PULS   2652 
     20242608     PULS   2667 
     20242610     PULS   2697 
     20242612     PULS   2697 
     20242614     PULS   2697 
     20242616     PULS   2711 
     20242618     PULS   2711 
     20242620     PULS   2711 
     20242622     PULS   2741 
     20242624     PULS   2726 
     20242626     PULS   2711 
     20242628     PULS   2682 
     20242630     PULS   2667 
     20242632     PULS   2638 
     20242634     PULS   2608 
     20242636     PULS   2579 
     20242638     PULS   2534 
     20242640     PULS   2505 
     20242642     PULS   2461 
     20242644     PULS   2416 
     20242646     PULS   2387 
     20242648     PULS   2372 
     20242650     PULS   2357 
     20242652     PULS   2343 
     20242654     PULS   2357 
     20242656     PULS   2357 
     20242658     PULS   2372 
     20242660     PULS   2387 
     20242662     PULS   2387 
     20242664     PULS   2372 
     20242666     PULS   2372 
     20242668     PULS   2357 
     20242670     PULS   2343 
     20242672     PULS   2313 
     20242638     PULS   2048  PULS_TRIGGER
     20242674     PULS   2298 
     20242676     PULS   2269 
     20242678     PULS   2239 
     20242680     PULS   2225 
     20242682     PULS   2210 
     20242684     PULS   2210 
     20242686     PULS   2195 
     20242688     PULS   2195 
     20242690     PULS   2195 
     20242692     PULS   2195 
     20242694     PULS   2180 
     20242696     PULS   2180 
     20242698     PULS   2180 
     20242700     PULS   2210 
     20242702     PULS   2225 
     20242704     PULS   2225 
     20242706     PULS   2225 
     20242708     PULS   2225 
     20242710     PULS   2210 
     20242712     PULS   2225 
     20242714     PULS   2239 
     20242716     PULS   2239 
     20242718     PULS   2239 
     20242720     PULS   2254 
     20242722     PULS   2254 
     20242724     PULS   2254 
     20242726     PULS   2284 
     20242728     PULS   2269 
     20242730     PULS   2284 
     20242732     PULS   2269 
     20242734     PULS   2284 
     20242736     PULS   2269 
     20242738     PULS   2269 
     20242740     PULS   2269 
     20242742     PULS   2269 
     20242744     PULS   2254 
     20242746     PULS   2239 
     20242748     PULS   2225 
     20242750     PULS   2195 
     20242752     PULS   2180 
     20242754     PULS   2166 
     20242756     PULS   2136 
     20242758     PULS   2121 
     20242760     PULS   2107 
     20242762     PULS   2092 
     20242764     PULS   2077 
     20242768     PULS   2033 
     20242770     PULS   2003 
     20242772     PULS   1989 
     20242774     PULS   1944 
     20242776     PULS   1944 
     20242778     PULS   1930 
     20242780     PULS   1930 
     20242782     PULS   1915 
     20242784     PULS   1915 
     20242786     PULS   1930 
     20242788     PULS   1930 
     20242790     PULS   1930 
     20242792     PULS   1930 
     20242794     PULS   1944 
     20242796     PULS   1944 
     20242798     PULS   1959 
     20242800     PULS   1959 
     20242802     PULS   1959 
     20242804     PULS   1959 
     20242806     PULS   1944 
     20242808     PULS   1944 
     20242810     PULS   1930 
     20242812     PULS   1944 
     20242814     PULS   1930 
     20242816     PULS   1930 
     20242818     PULS   1930 
     20242820     PULS   1930 
     20242822     PULS   1930 
     20242824     PULS   1930 
     20242826     PULS   1944 
     20242828     PULS   1959 
     20242830     PULS   1989 
     20242832     PULS   2018 
     20242836     PULS   2092 
     20242838     PULS   2136 
     20242840     PULS   2180 
     20242842     PULS   2225 
     20242844     PULS   2254 
     20242846     PULS   2298 
     20242848     PULS   2328 
     20242850     PULS   2343 
     20242852     PULS   2357 
     20242854     PULS   2372 
     20242856     PULS   2416 
     20242858     PULS   2431 
     20242860     PULS   2461 
     20242862     PULS   2490 
     20242864     PULS   2520 
     20242866     PULS   2564 
     20242868     PULS   2579 
     20242870     PULS   2608 
     20242872     PULS   2638 
     20242874     PULS   2652 
     20242876     PULS   2682 
     20242878     PULS   2682 
     20242880     PULS   2697 
     20242882     PULS   2697 
     20242884     PULS   2682 
     20242886     PULS   2697 
     20242888     PULS   2697 
     20242890     PULS   2682 
     20242892     PULS   2652 
     20242894     PULS   2623 
     20242896     PULS   2593 
     20242898     PULS   2564 
     20242900     PULS   2520 
     20242902     PULS   2490 
     20242904     PULS   2461 
     20242906     PULS   2431 
     20242908     PULS   2416 
     20242910     PULS   2431 
     20242912     PULS   2431 
     20242902     PULS   2048  PULS_TRIGGER
     20242914     PULS   2446 
     20242916     PULS   2461 
     20242918     PULS   2475 
     20242920     PULS   2475 
     20242922     PULS   2490 
     20242924     PULS   2490 
     20242926     PULS   2490 
     20242928     PULS   2475 
     20242930     PULS   2475 
     20242932     PULS   2431 
     20242934     PULS   2416 
     20242936     PULS   2387 
     20242938     PULS   2372 
     20242940     PULS   2343 
     20242942     PULS   2328 
     20242944     PULS   2313 
     20242946     PULS   2298 
     20242948     PULS   2284 
     20242950     PULS   2269 
     20242952     PULS   2254 
     20242954     PULS   2254 
     20242956     PULS   2239 
     20242958     PULS   2225 
     20242960     PULS   2225 
     20242962     PULS   2225 
     20242964     PULS   2225 
     20242966     PULS   2225 
     20242968     PULS   2225 
     20242970     PULS   2239 
     20242972     PULS   2210 
     20242974     PULS   2210 
     20242976     PULS   2180 
     20242978     PULS   2151 
     20242980     PULS   2136 
     20242982     PULS   2121 
     20242984     PULS   2107 
     20242986     PULS   2092 
     20242988     PULS   2077 
     20242990     PULS   2062 
     20242992     PULS   2077 
     20242994     PULS   2062 
     20242996     PULS   2062 
     20243000     PULS   2033 
     20243002     PULS   2018 
     20243004     PULS   1989 
     20243006     PULS   1974 
     20243008     PULS   1944 
     20243010     PULS   1944 
     20243012     PULS   1944 
     20243014     PULS   1930 
     20243016     PULS   1930 
     20243018     PULS   1930 
     20243020     PULS   1930 
     20243022     PULS   1930 
     20243024     PULS   1930 
     20243026     PULS   1915 
     20243028     PULS   1900 
     20243030     PULS   1885 
     20243032     PULS   1885 
     20243034     PULS   1856 
     20243036     PULS   1856 
     20243038     PULS   1856 
     20243040     PULS   1856 
     20243042     PULS   1856 
     20243044     PULS   1856 
     20243046     PULS   1856 
     20243048     PULS   1871 
     20243050     PULS   1885 
     20243052     PULS   1900 
     20243054     PULS   1930 
     20243056     PULS   1930 
     20243058     PULS   1944 
     20243060     PULS   1930 
     20243062     PULS   1915 
     20243064     PULS   1900 
     20243066     PULS   1885 
     20243068     PULS   1871 
     20243070     PULS   1856 
     20243072     PULS   1871 
     20243074     PULS   1856 
     20243076     PULS   1871 
     20243078     PULS   1885 
     20243080     PULS   1900 
     20243082     PULS   1930 
     20243084     PULS   1959 
     20243086     PULS   1974 
     20243088     PULS   1989 
     20243090     PULS   2003 
     20243092     PULS   1989 
     20243094     PULS   1989 
     20243096     PULS   1974 
     20243098     PULS   1959 
     20243100     PULS   1974 
     20243102     PULS   1974 
     20243104     PULS   1974 
     20243106     PULS   1989 
     20243108     PULS   1974 
     20243110     PULS   1989 
     20243112     PULS   2003 
     20243114     PULS   2003 
     20243116     PULS   2003 
     20243118     PULS   2003 
     20243120     PULS   2003 
     20243122     PULS   2003 
     20243124     PULS   2033 
     20243126     PULS   2062 
     20243128     PULS   2107 
     20243130     PULS   2166 
     20243132     PULS   2210 
     20243134     PULS   2254 
     20243136     PULS   2313 
     20243138     PULS   2328 
     20243140     PULS   2372 
     20243142     PULS   2402 
     20243144     PULS   2416 
     20243146     PULS   2431 
     20243148     PULS   2446 
     20243150     PULS   2475 
     20243152     PULS   2490 
     20243154     PULS   2505 
     20243156     PULS   2520 
     20243158     PULS   2534 
     20243160     PULS   2549 
     20243162     PULS   2549 
     20243164     PULS   2564 
     20243166     PULS   2549 
     20243168     PULS   2549 
     20243170     PULS   2549 
     20243172     PULS   2534 
     20243174     PULS   2520 
     20243176     PULS   2520 
     20243178     PULS   2490 
     20243180     PULS   2490 
     20243182     PULS   2475 
     20243184     PULS   2475 
     20243186     PULS   2461 
     20243188     PULS   2446 
     20243190     PULS   2431 
     20243192     PULS   2416 
     20243186     PULS   2048  PULS_TRIGGER
     20243194     PULS   2416 
     20243196     PULS   2431 
     20243198     PULS   2431 
     20243200     PULS   2446 
     20243202     PULS   2475 
     20243204     PULS   2475 
     20243206     PULS   2475 
     20243208     PULS   2490 
     20243210     PULS   2475 
     20243212     PULS   2446 
     20243214     PULS   2416 
     20243216     PULS   2372 
     20243218     PULS   2328 
     20243220     PULS   2284 
     20243222     PULS   2239 
     20243224     PULS   2210 
     20243226     PULS   2180 
     20243228     PULS   2166 
     20243230     PULS   2136 
     20243232     PULS   2121 
     20243234     PULS   2121 
     20243236     PULS   2107 
     20243238     PULS   2121 
     20243240     PULS   2121 
     20243242     PULS   2136 
     20243244     PULS   2136 
     20243246     PULS   2151 
     20243248     PULS   2151 
     20243250     PULS   2151 
     20243252     PULS   2136 
     20243254     PULS   2136 
     20243256     PULS   2121 
     20243258     PULS   2121 
     20243260     PULS   2121 
     20243262     PULS   2121 
     20243264     PULS   2121 
     20243266     PULS   2121 
     20243268     PULS   2121 
