UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20725864     PULS   2077 
     20725866     PULS   2062 
     20725868     PULS   2033 
     20725870     PULS   2003 
     20725872     PULS   1989 
     20725874     PULS   1959 
     20725876     PULS   1944 
     20725878     PULS   1915 
     20725880     PULS   1900 
     20725882     PULS   1885 
     20725884     PULS   1885 
     20725886     PULS   1885 
     20725888     PULS   1900 
     20725890     PULS   1930 
     20725892     PULS   1959 
     20725894     PULS   1989 
     20725896     PULS   2003 
     20725898     PULS   2033 
     20725906     PULS   2062 
     20725914     PULS   2033 
     20725916     PULS   2018 
     20725918     PULS   2018 
     20725920     PULS   2018 
     20725922     PULS   2018 
     20725924     PULS   2003 
     20725926     PULS   2003 
     20725928     PULS   2003 
     20725930     PULS   2003 
     20725932     PULS   1989 
     20725934     PULS   1989 
     20725936     PULS   1974 
     20725938     PULS   1974 
     20725940     PULS   1959 
     20725942     PULS   1944 
     20725944     PULS   1944 
     20725946     PULS   1944 
     20725948     PULS   1930 
     20725950     PULS   1930 
     20725952     PULS   1944 
     20725954     PULS   1959 
     20725956     PULS   1959 
     20725958     PULS   1989 
     20725960     PULS   2003 
     20725962     PULS   2033 
     20725966     PULS   2077 
     20725968     PULS   2077 
     20725970     PULS   2077 
     20725972     PULS   2077 
     20725974     PULS   2062 
     20725978     PULS   2033 
     20725980     PULS   2003 
     20725982     PULS   1989 
     20725984     PULS   1974 
     20725986     PULS   1974 
     20725988     PULS   1959 
     20725990     PULS   1959 
     20725992     PULS   1959 
     20725994     PULS   1959 
     20725996     PULS   1974 
     20725998     PULS   1989 
     20726000     PULS   1974 
     20726002     PULS   1959 
     20726004     PULS   1944 
     20726006     PULS   1930 
     20726008     PULS   1915 
     20726010     PULS   1915 
     20726012     PULS   1915 
     20726014     PULS   1915 
     20726016     PULS   1930 
     20726018     PULS   1930 
     20726020     PULS   1959 
     20726022     PULS   1974 
     20726024     PULS   2003 
     20726026     PULS   2018 
     20726030     PULS   2062 
     20726032     PULS   2107 
     20726034     PULS   2136 
     20726036     PULS   2166 
     20726038     PULS   2210 
     20726040     PULS   2225 
     20726042     PULS   2239 
     20726044     PULS   2269 
     20726046     PULS   2298 
     20726048     PULS   2313 
     20726050     PULS   2343 
     20726052     PULS   2372 
     20726054     PULS   2402 
     20726056     PULS   2416 
     20726058     PULS   2416 
     20726060     PULS   2431 
     20726062     PULS   2431 
     20726064     PULS   2446 
     20726066     PULS   2446 
     20726068     PULS   2446 
     20726070     PULS   2461 
     20726072     PULS   2475 
     20726074     PULS   2475 
     20726076     PULS   2490 
     20726078     PULS   2520 
     20726080     PULS   2520 
     20726082     PULS   2534 
     20726084     PULS   2534 
     20726086     PULS   2520 
     20726088     PULS   2505 
     20726090     PULS   2490 
     20726092     PULS   2475 
     20726094     PULS   2461 
     20726096     PULS   2446 
     20726098     PULS   2461 
     20726100     PULS   2461 
     20726102     PULS   2461 
     20726101     PULS   2048  PULS_TRIGGER
     20726104     PULS   2461 
     20726106     PULS   2461 
     20726108     PULS   2446 
     20726110     PULS   2402 
     20726112     PULS   2387 
     20726114     PULS   2357 
     20726116     PULS   2298 
     20726118     PULS   2284 
     20726120     PULS   2254 
     20726122     PULS   2239 
     20726124     PULS   2225 
     20726126     PULS   2210 
     20726128     PULS   2210 
     20726130     PULS   2210 
     20726132     PULS   2225 
     20726134     PULS   2210 
     20726136     PULS   2225 
     20726138     PULS   2210 
     20726140     PULS   2210 
     20726142     PULS   2210 
     20726144     PULS   2210 
     20726146     PULS   2210 
     20726148     PULS   2210 
     20726150     PULS   2195 
     20726152     PULS   2180 
     20726154     PULS   2166 
     20726156     PULS   2151 
     20726158     PULS   2136 
     20726160     PULS   2136 
     20726162     PULS   2121 
     20726164     PULS   2107 
     20726166     PULS   2107 
     20726168     PULS   2092 
     20726170     PULS   2092 
     20726172     PULS   2092 
     20726174     PULS   2092 
     20726176     PULS   2077 
     20726178     PULS   2077 
     20726180     PULS   2062 
     20726182     PULS   2077 
     20726184     PULS   2062 
     20726186     PULS   2062 
     20726188     PULS   2077 
     20726190     PULS   2092 
     20726192     PULS   2107 
     20726194     PULS   2121 
     20726196     PULS   2121 
     20726198     PULS   2136 
     20726200     PULS   2121 
     20726202     PULS   2121 
     20726204     PULS   2107 
     20726206     PULS   2092 
     20726208     PULS   2092 
     20726210     PULS   2092 
     20726212     PULS   2092 
     20726214     PULS   2092 
     20726216     PULS   2092 
     20726218     PULS   2107 
     20726220     PULS   2121 
     20726222     PULS   2121 
     20726224     PULS   2121 
     20726226     PULS   2121 
     20726228     PULS   2136 
     20726230     PULS   2136 
     20726232     PULS   2121 
     20726234     PULS   2121 
     20726236     PULS   2121 
     20726238     PULS   2121 
     20726240     PULS   2092 
     20726242     PULS   2077 
     20726246     PULS   2018 
     20726248     PULS   2003 
     20726250     PULS   1989 
     20726252     PULS   1974 
     20726254     PULS   1974 
     20726256     PULS   1959 
     20726258     PULS   1959 
     20726260     PULS   1944 
     20726262     PULS   1915 
     20726264     PULS   1915 
     20726266     PULS   1915 
     20726268     PULS   1900 
     20726270     PULS   1885 
     20726272     PULS   1900 
     20726274     PULS   1900 
     20726276     PULS   1900 
     20726278     PULS   1900 
     20726280     PULS   1900 
     20726282     PULS   1900 
     20726284     PULS   1900 
     20726286     PULS   1900 
     20726288     PULS   1900 
     20726290     PULS   1915 
     20726292     PULS   1915 
     20726294     PULS   1930 
     20726296     PULS   1930 
     20726298     PULS   1930 
     20726300     PULS   1944 
     20726302     PULS   1944 
     20726304     PULS   1959 
     20726306     PULS   1974 
     20726308     PULS   1989 
     20726310     PULS   2003 
     20726312     PULS   2018 
     20726314     PULS   2018 
     20726316     PULS   2018 
     20726318     PULS   2018 
     20726320     PULS   2033 
     20726322     PULS   2033 
     20726324     PULS   2062 
     20726326     PULS   2092 
     20726328     PULS   2107 
     20726330     PULS   2121 
     20726332     PULS   2107 
     20726334     PULS   2136 
     20726336     PULS   2121 
     20726338     PULS   2151 
     20726340     PULS   2166 
     20726342     PULS   2195 
     20726344     PULS   2195 
     20726346     PULS   2225 
     20726348     PULS   2254 
     20726350     PULS   2284 
     20726352     PULS   2284 
     20726354     PULS   2313 
     20726356     PULS   2343 
     20726358     PULS   2357 
     20726360     PULS   2372 
     20726362     PULS   2387 
     20726364     PULS   2387 
     20726366     PULS   2387 
     20726368     PULS   2372 
     20726370     PULS   2357 
     20726372     PULS   2357 
     20726374     PULS   2343 
     20726376     PULS   2343 
     20726378     PULS   2343 
     20726380     PULS   2343 
     20726382     PULS   2357 
     20726384     PULS   2357 
     20726386     PULS   2372 
     20726388     PULS   2372 
     20726390     PULS   2372 
     20726392     PULS   2402 
     20726394     PULS   2387 
     20726396     PULS   2387 
     20726398     PULS   2387 
     20726400     PULS   2387 
     20726402     PULS   2372 
     20726404     PULS   2372 
     20726406     PULS   2372 
     20726408     PULS   2387 
     20726410     PULS   2402 
     20726412     PULS   2402 
     20726414     PULS   2402 
     20726416     PULS   2402 
     20726418     PULS   2387 
     20726420     PULS   2387 
     20726422     PULS   2372 
     20726424     PULS   2387 
     20726426     PULS   2372 
     20726428     PULS   2357 
     20726430     PULS   2357 
     20726432     PULS   2343 
     20726434     PULS   2357 
     20726436     PULS   2343 
     20726438     PULS   2328 
     20726440     PULS   2328 
     20726442     PULS   2313 
     20726444     PULS   2328 
     20726446     PULS   2313 
     20726448     PULS   2313 
     20726450     PULS   2313 
     20726452     PULS   2298 
     20726454     PULS   2298 
     20726456     PULS   2284 
     20726458     PULS   2269 
     20726460     PULS   2254 
     20726462     PULS   2239 
     20726431     PULS   2048  PULS_TRIGGER
     20726464     PULS   2210 
     20726466     PULS   2210 
     20726468     PULS   2195 
     20726470     PULS   2180 
     20726472     PULS   2180 
     20726474     PULS   2166 
     20726476     PULS   2151 
     20726478     PULS   2151 
     20726480     PULS   2136 
     20726482     PULS   2121 
     20726484     PULS   2107 
     20726486     PULS   2107 
     20726488     PULS   2107 
     20726490     PULS   2121 
     20726492     PULS   2107 
     20726494     PULS   2121 
     20726496     PULS   2136 
     20726498     PULS   2151 
     20726500     PULS   2151 
     20726502     PULS   2151 
     20726504     PULS   2136 
     20726506     PULS   2136 
     20726508     PULS   2136 
     20726510     PULS   2121 
     20726512     PULS   2107 
     20726514     PULS   2092 
     20726516     PULS   2062 
     20726520     PULS   2033 
     20726522     PULS   2033 
     20726524     PULS   2018 
     20726526     PULS   2033 
     20726528     PULS   2033 
     20726530     PULS   2033 
     20726538     PULS   2062 
     20726540     PULS   2062 
     20726544     PULS   2033 
     20726546     PULS   2018 
     20726548     PULS   2018 
     20726550     PULS   1989 
     20726552     PULS   1974 
     20726554     PULS   1989 
     20726556     PULS   1989 
     20726558     PULS   1974 
     20726560     PULS   1989 
     20726562     PULS   1974 
     20726564     PULS   1974 
     20726566     PULS   1959 
     20726568     PULS   1944 
     20726570     PULS   1930 
     20726572     PULS   1915 
     20726574     PULS   1885 
     20726576     PULS   1871 
     20726578     PULS   1856 
     20726580     PULS   1812 
     20726582     PULS   1782 
     20726584     PULS   1753 
     20726586     PULS   1738 
     20726588     PULS   1723 
     20726590     PULS   1723 
     20726592     PULS   1723 
     20726594     PULS   1723 
     20726596     PULS   1723 
     20726598     PULS   1738 
     20726600     PULS   1738 
     20726602     PULS   1738 
     20726604     PULS   1753 
     20726606     PULS   1753 
     20726608     PULS   1753 
     20726610     PULS   1767 
     20726612     PULS   1782 
     20726614     PULS   1812 
     20726616     PULS   1841 
     20726618     PULS   1871 
     20726620     PULS   1930 
     20726622     PULS   1959 
     20726624     PULS   1989 
     20726626     PULS   2018 
     20726630     PULS   2077 
     20726632     PULS   2107 
     20726634     PULS   2121 
     20726636     PULS   2121 
     20726638     PULS   2136 
     20726640     PULS   2136 
     20726642     PULS   2136 
     20726644     PULS   2151 
     20726646     PULS   2151 
     20726648     PULS   2166 
     20726650     PULS   2180 
     20726652     PULS   2195 
     20726654     PULS   2210 
     20726656     PULS   2225 
     20726658     PULS   2239 
     20726660     PULS   2254 
     20726662     PULS   2269 
     20726664     PULS   2298 
     20726666     PULS   2298 
     20726668     PULS   2298 
     20726670     PULS   2298 
     20726672     PULS   2298 
     20726674     PULS   2313 
     20726676     PULS   2343 
     20726678     PULS   2372 
     20726680     PULS   2402 
     20726682     PULS   2431 
     20726684     PULS   2475 
     20726686     PULS   2505 
     20726688     PULS   2549 
     20726690     PULS   2579 
     20726692     PULS   2608 
     20726694     PULS   2623 
     20726696     PULS   2638 
     20726698     PULS   2652 
     20726700     PULS   2652 
     20726702     PULS   2652 
     20726704     PULS   2652 
     20726706     PULS   2638 
     20726708     PULS   2638 
     20726710     PULS   2623 
     20726712     PULS   2608 
     20726714     PULS   2608 
     20726716     PULS   2608 
     20726718     PULS   2593 
     20726720     PULS   2579 
     20726722     PULS   2579 
     20726724     PULS   2549 
     20726726     PULS   2520 
     20726728     PULS   2505 
     20726730     PULS   2475 
     20726732     PULS   2461 
     20726734     PULS   2461 
     20726736     PULS   2431 
     20726738     PULS   2431 
     20726740     PULS   2416 
     20726742     PULS   2416 
     20726727     PULS   2048  PULS_TRIGGER
     20726744     PULS   2402 
     20726746     PULS   2357 
     20726748     PULS   2328 
     20726750     PULS   2298 
     20726752     PULS   2269 
     20726754     PULS   2254 
     20726756     PULS   2225 
     20726758     PULS   2195 
     20726760     PULS   2180 
     20726762     PULS   2166 
     20726764     PULS   2151 
     20726766     PULS   2121 
     20726768     PULS   2107 
     20726770     PULS   2092 
     20726772     PULS   2077 
     20726774     PULS   2062 
     20726786     PULS   2062 
     20726788     PULS   2062 
     20726790     PULS   2062 
     20726792     PULS   2077 
     20726794     PULS   2077 
     20726796     PULS   2077 
     20726798     PULS   2077 
     20726800     PULS   2077 
     20726802     PULS   2062 
     20726808     PULS   2018 
     20726810     PULS   1989 
     20726812     PULS   1974 
     20726814     PULS   1974 
     20726816     PULS   1959 
     20726818     PULS   1959 
     20726820     PULS   1974 
     20726822     PULS   1974 
     20726824     PULS   1989 
     20726826     PULS   1989 
